"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"11.09.2022","237","4","0"
"10.09.2022","264","11","1"
"09.09.2022","1.010","20","2"
"08.09.2022","1.068","19","0"
"07.09.2022","1.335","21","0"
"06.09.2022","1.484","32","2"
"05.09.2022","1.516","40","2"
"04.09.2022","201","7","0"
"03.09.2022","264","7","0"
"02.09.2022","1.043","25","2"
"01.09.2022","980","18","2"
"31.08.2022","1.188","34","0"
"30.08.2022","1.650","32","3"
"29.08.2022","1.562","39","1"
"28.08.2022","323","10","1"
"27.08.2022","284","20","4"
"26.08.2022","1.194","23","3"
"25.08.2022","1.194","26","1"
"24.08.2022","1.364","31","1"
"23.08.2022","2.129","36","3"
"22.08.2022","2.028","58","3"
"21.08.2022","276","12","1"
"20.08.2022","385","13","0"
"19.08.2022","1.251","23","2"
"18.08.2022","1.577","55","2"
"17.08.2022","1.714","46","4"
"16.08.2022","2.739","54","2"
"15.08.2022","2.632","62","4"
"14.08.2022","343","22","0"
"13.08.2022","570","8","1"
"12.08.2022","1.600","43","4"
"11.08.2022","2.155","51","3"
"10.08.2022","2.457","43","6"
"09.08.2022","2.521","37","5"
"08.08.2022","2.541","71","6"
"07.08.2022","386","23","3"
"06.08.2022","480","16","1"
"05.08.2022","1.710","43","6"
"04.08.2022","1.620","41","2"
"03.08.2022","2.083","44","2"
"02.08.2022","2.506","47","3"
"01.08.2022","2.863","60","5"
"31.07.2022","224","19","1"
"30.07.2022","443","17","1"
"29.07.2022","1.732","23","3"
"28.07.2022","1.871","41","4"
"27.07.2022","2.674","51","1"
"26.07.2022","2.947","68","6"
"25.07.2022","2.969","67","8"
"24.07.2022","631","15","0"
"23.07.2022","731","23","2"
"22.07.2022","2.306","49","3"
"21.07.2022","2.992","62","4"
"20.07.2022","3.211","62","8"
"19.07.2022","3.859","96","3"
"18.07.2022","3.804","99","5"
"17.07.2022","742","13","2"
"16.07.2022","654","25","4"
"15.07.2022","3.067","53","8"
"14.07.2022","3.554","56","5"
"13.07.2022","3.685","63","3"
"12.07.2022","4.747","58","3"
"11.07.2022","4.461","87","8"
"10.07.2022","978","19","2"
"09.07.2022","822","29","1"
"08.07.2022","3.602","55","3"
"07.07.2022","3.859","52","4"
"06.07.2022","4.954","63","3"
"05.07.2022","6.930","104","7"
"04.07.2022","6.249","122","10"
"03.07.2022","932","22","0"
"02.07.2022","1.319","11","1"
"01.07.2022","6.097","65","5"
"30.06.2022","6.316","58","3"
